LocationID,National LGA Name 2021,State,National Remoteness Areas,SA4 Name 2021
476,Wellington,Vic,Outer Regional Australia,Latrobe - Gippsland
477,Junee,NSW,Inner Regional Australia,Riverina
478,Victor Harbor,SA,Inner Regional Australia,South Australia - South East
479,Burnside,SA,Major Cities of Australia,Adelaide - Central and Hills
480,Coomalie,NT,Remote Australia,Northern Territory - Outback
481,Manningham,Vic,Major Cities of Australia,Melbourne - Outer East
482,Corangamite,Vic,Outer Regional Australia,Warrnambool and South West
483,Wakefield,SA,Inner Regional Australia,Barossa - Yorke - Mid North
484,Unknown,WA,Inner Regional Australia,Unknown
485,Unknown,WA,Outer Regional Australia,Unknown
486,Unknown,WA,Major Cities of Australia,Unknown
487,Unknown,WA,Very Remote Australia,Unknown
488,Mosman,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby
489,Glamorgan-Spring Bay,Tas,Outer Regional Australia,South East
490,Hawkesbury,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains
491,Penrith,NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains
492,Unknown,WA,Remote Australia,Unknown
493,Murrindindi,Vic,Inner Regional Australia,Melbourne - North East
494,Southern Midlands,Tas,Outer Regional Australia,South East
495,Scenic Rim,Qld,Outer Regional Australia,Logan - Beaudesert
496,Mount Alexander,Vic,Inner Regional Australia,Bendigo
497,North Sydney,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby
498,Western Downs,Qld,Inner Regional Australia,Darling Downs - Maranoa
499,Woollahra,NSW,Major Cities of Australia,Sydney - Eastern Suburbs
500,Prospect,SA,Major Cities of Australia,Adelaide - Central and Hills
501,Unknown,WA,Unknown,Unknown
502,Unknown,NT,Unknown,Unknown
503,Katherine,NT,Remote Australia,Northern Territory - Outback
504,Mareeba,Qld,Remote Australia,Queensland - Outback
505,Mildura,Vic,Remote Australia,North West
506,Northern Peninsula Area,Qld,Very Remote Australia,Queensland - Outback
507,Mitchell,Vic,Major Cities of Australia,Melbourne - North East
508,Wingecarribee,NSW,Inner Regional Australia,Sydney - Outer South West
509,Kyogle,NSW,Outer Regional Australia,Richmond - Tweed
510,Port Stephens,NSW,Major Cities of Australia,Hunter Valley exc Newcastle
511,Unincorporated NT,NT,Outer Regional Australia,Darwin
512,Orroroo Carrieton,SA,Outer Regional Australia,Barossa - Yorke - Mid North
513,Central Goldfields,Vic,Inner Regional Australia,Ballarat
514,Unincorporated NT,NT,Remote Australia,Northern Territory - Outback
515,Central Darling,NSW,Very Remote Australia,Far West and Orana
516,Balonne,Qld,Remote Australia,Darling Downs - Maranoa
517,Kingborough,Tas,Inner Regional Australia,Hobart
518,Maranoa,Qld,Very Remote Australia,Darling Downs - Maranoa
519,Walgett,NSW,Remote Australia,Far West and Orana
520,Coolamon,NSW,Outer Regional Australia,Riverina
521,Bulloo,Qld,Very Remote Australia,Queensland - Outback
522,Bellingen,NSW,Outer Regional Australia,Coffs Harbour - Grafton
